#HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,ES,Spain,191,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,EU31_UKX,EU/EEA,843,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,FR,France,39,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,HU,Hungary,5,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,IE,Ireland,111,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,IS,Iceland,163,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,IT,Italy,14,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,LT,Lithuania,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,LU,Luxembourg,31,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,LV,Latvia,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,NL,Netherlands,13,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,NO,Norway,4,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,PL,Poland,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,PT,Portugal,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,RO,Romania,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,SE,Sweden,22,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,SI,Slovenia,3,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,UKG13182,England,48,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W42,UKN,Northern Ireland,29,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,AT,Austria,1,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,BE,Belgium,337,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,BG,Bulgaria,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,CZ,Czech Republic,4,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,DE,Germany,23,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,DK,Denmark,1,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,EE,Estonia,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,EL,Greece,3,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,ES,Spain,352,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,EU31_UKX,EU/EEA,1286,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,FR,France,92,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,HU,Hungary,5,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,IE,Ireland,107,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,IS,Iceland,105,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,IT,Italy,5,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,LT,Lithuania,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,LU,Luxembourg,20,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,LV,Latvia,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,NL,Netherlands,26,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,NO,Norway,27,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,PL,Poland,7,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,PT,Portugal,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,RO,Romania,2,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,SE,Sweden,37,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,SI,Slovenia,9,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,UKG13182,England,101,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W43,UKN,Northern Ireland,42,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,AT,Austria,2,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,BE,Belgium,189,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,BG,Bulgaria,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,CZ,Czech Republic,7,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,DE,Germany,60,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,DK,Denmark,2,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,EE,Estonia,3,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,EL,Greece,1,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,ES,Spain,547,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,EU31_UKX,EU/EEA,1603,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,FR,France,110,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,HU,Hungary,4,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,IE,Ireland,68,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,IS,Iceland,55,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,IT,Italy,1,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,LT,Lithuania,1,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,LU,Luxembourg,64,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,LV,Latvia,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,NL,Netherlands,38,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,NO,Norway,42,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,PL,Poland,8,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,PT,Portugal,10,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,RO,Romania,51,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,SE,Sweden,64,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,SI,Slovenia,5,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,UKG13182,England,128,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,UKM,Scotland,172,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W44,UKN,Northern Ireland,35,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,AT,Austria,11,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,BE,Belgium,134,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,BG,Bulgaria,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,CZ,Czech Republic,16,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,DE,Germany,169,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,DK,Denmark,36,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,EE,Estonia,22,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,EL,Greece,28,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,ES,Spain,486,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,EU31_UKX,EU/EEA,1578,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,FR,France,161,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,HU,Hungary,13,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,IE,Ireland,52,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,IS,Iceland,30,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,IT,Italy,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,LT,Lithuania,9,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,LU,Luxembourg,25,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,LV,Latvia,3,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,NL,Netherlands,52,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,NO,Norway,37,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,PL,Poland,29,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,PT,Portugal,11,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,RO,Romania,95,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,SE,Sweden,69,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,SI,Slovenia,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,UKG13182,England,88,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,UKM,Scotland,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W45,UKN,Northern Ireland,27,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,AT,Austria,63,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,BE,Belgium,75,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,BG,Bulgaria,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,CZ,Czech Republic,35,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,DE,Germany,180,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,DK,Denmark,31,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,EE,Estonia,39,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,EL,Greece,40,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,ES,Spain,502,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,EU31_UKX,EU/EEA,2038,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,FR,France,282,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,HU,Hungary,39,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,IE,Ireland,51,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,IS,Iceland,15,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,IT,Italy,15,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,LT,Lithuania,12,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,LU,Luxembourg,16,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,LV,Latvia,5,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,NL,Netherlands,56,
